,종가,오픈,고가,저가,변동 %,날짜
0,520.95,503.31,521.34,500.97,3.24,2001-01-02
1,521.43,512.74,524.58,510.7,0.09,2001-01-03
2,558.02,551.53,567.16,550.91,7.02,2001-01-04
3,580.85,559.54,581.41,555.4,4.09,2001-01-05
4,586.65,573.72,587.91,572.48,1.0,2001-01-08
5,589.92,583.85,589.92,572.55,0.56,2001-01-09
6,560.81,586.63,593.86,560.81,-4.93,2001-01-10
7,561.79,568.26,570.57,557.86,0.17,2001-01-11
8,587.87,578.95,601.09,578.95,4.64,2001-01-12
9,599.0,595.06,608.22,588.87,1.89,2001-01-15
10,603.42,600.68,608.51,588.42,0.74,2001-01-16
11,595.83,600.75,610.47,587.26,-1.26,2001-01-17
12,604.05,597.15,612.9,596.66,1.38,2001-01-18
13,619.78,622.25,622.25,613.66,2.6,2001-01-19
14,627.45,622.52,627.45,614.08,1.24,2001-01-22
15,591.73,623.68,624.0,591.73,-5.69,2001-01-26
16,596.54,592.75,598.11,587.42,0.81,2001-01-29
17,591.34,601.29,608.05,591.34,-0.87,2001-01-30
18,617.91,594.76,617.91,593.54,4.49,2001-01-31
19,612.3,606.49,620.78,605.42,-0.91,2001-02-01
20,608.48,614.51,616.67,602.13,-0.62,2001-02-02
21,579.16,594.91,595.47,575.58,-4.82,2001-02-05
22,586.58,577.25,587.23,573.52,1.28,2001-02-06
23,576.19,584.93,584.93,574.44,-1.77,2001-02-07
24,591.57,577.12,591.66,577.12,2.67,2001-02-08
25,595.47,588.36,598.97,581.49,0.66,2001-02-09
26,599.2,587.62,602.9,584.37,0.63,2001-02-12
27,598.78,603.15,605.35,594.41,-0.07,2001-02-13
28,603.83,594.93,607.59,592.32,0.84,2001-02-14
29,603.63,611.26,612.26,602.41,-0.03,2001-02-15
30,604.92,605.93,611.54,604.27,0.21,2001-02-16
31,596.67,595.66,597.76,588.73,-1.36,2001-02-19
32,608.74,595.77,609.36,593.17,2.02,2001-02-20
33,594.53,605.49,605.49,594.45,-2.33,2001-02-21
34,583.41,589.3,589.3,571.72,-1.87,2001-02-22
35,583.52,579.97,590.49,579.45,0.02,2001-02-23
36,585.32,585.16,588.92,580.59,0.31,2001-02-26
37,577.57,590.14,597.12,576.66,-1.32,2001-02-27
38,578.1,571.64,581.44,571.04,0.09,2001-02-28
39,559.44,574.61,574.61,557.2,-3.23,2001-03-02
40,565.38,549.27,565.38,549.27,1.06,2001-03-05
41,568.15,569.14,574.9,564.12,0.49,2001-03-06
42,568.64,574.52,576.94,566.08,0.09,2001-03-07
43,579.28,569.79,579.28,568.09,1.87,2001-03-08
44,565.76,572.11,573.67,562.53,-2.33,2001-03-09
45,545.05,554.36,556.84,545.05,-3.66,2001-03-12
46,527.97,527.94,533.25,522.65,-3.13,2001-03-13
47,543.28,541.42,545.0,539.12,2.9,2001-03-14
48,541.83,523.38,542.3,522.74,-0.27,2001-03-15
49,538.67,541.31,543.81,536.7,-0.58,2001-03-16
50,534.33,531.84,541.2,528.88,-0.81,2001-03-19
51,531.59,542.13,542.79,531.39,-0.51,2001-03-20
52,532.59,520.71,532.59,520.41,0.19,2001-03-21
53,527.05,530.88,532.25,524.25,-1.04,2001-03-22
54,537.97,532.01,539.19,531.63,2.07,2001-03-23
55,545.98,544.75,550.26,542.09,1.49,2001-03-26
56,532.9,546.27,546.27,532.9,-2.4,2001-03-27
57,528.79,541.43,541.71,528.79,-0.77,2001-03-28
58,523.8,522.99,531.85,521.04,-0.94,2001-03-29
59,523.22,524.63,528.6,516.97,-0.11,2001-03-30
60,515.2,520.56,522.09,512.4,-1.53,2001-04-02
61,503.26,505.38,507.67,498.27,-2.32,2001-04-03
62,493.69,496.03,501.32,493.57,-1.9,2001-04-04
63,506.22,518.06,518.2,504.54,2.54,2001-04-06
64,497.46,503.07,506.46,497.46,-1.73,2001-04-09
65,491.21,500.97,501.65,491.21,-1.26,2001-04-10
66,507.53,505.24,508.75,501.63,3.32,2001-04-11
67,514.21,516.73,519.48,511.73,1.32,2001-04-12
68,516.1,518.64,518.65,512.35,0.37,2001-04-13
69,508.35,514.55,518.26,508.35,-1.5,2001-04-16
70,513.97,506.92,516.12,505.92,1.11,2001-04-17
71,540.0,523.26,540.0,520.31,5.06,2001-04-18
72,563.31,567.49,581.63,558.97,4.32,2001-04-19
73,556.29,567.66,572.08,556.22,-1.25,2001-04-20
74,560.94,559.09,566.47,556.52,0.84,2001-04-23
75,555.64,552.32,556.48,547.39,-0.94,2001-04-24
76,566.34,552.69,566.34,551.15,1.93,2001-04-25
77,561.62,569.58,570.99,560.84,-0.83,2001-04-26
78,556.63,561.06,563.76,553.67,-0.89,2001-04-27
79,577.36,565.44,577.52,564.72,3.72,2001-04-30
80,583.7,586.27,587.18,580.39,1.1,2001-05-02
81,584.4,583.22,584.68,576.53,0.12,2001-05-03
82,585.6,575.69,585.6,575.69,0.21,2001-05-04
83,596.5,588.88,599.05,584.79,1.86,2001-05-07
84,590.91,594.32,597.95,590.65,-0.94,2001-05-08
85,578.84,589.06,589.42,578.34,-2.04,2001-05-09
86,581.38,579.16,584.33,575.43,0.44,2001-05-10
87,583.06,581.74,584.28,577.91,0.29,2001-05-11
88,584.08,585.13,588.13,580.82,0.17,2001-05-14
89,581.3,583.73,585.74,579.08,-0.48,2001-05-15
90,572.4,578.68,585.67,572.36,-1.53,2001-05-16
91,596.39,588.15,596.39,585.59,4.19,2001-05-17
92,600.54,594.56,600.54,591.63,0.7,2001-05-18
93,618.96,606.87,620.89,606.46,3.07,2001-05-21
94,617.99,628.82,630.08,617.99,-0.16,2001-05-22
95,622.6,620.03,625.8,616.56,0.75,2001-05-23
96,622.28,614.22,624.46,612.62,-0.05,2001-05-24
97,624.11,626.97,633.16,623.05,0.29,2001-05-25
98,618.47,620.2,622.67,618.14,-0.9,2001-05-28
99,632.05,616.94,632.09,615.87,2.2,2001-05-29
100,628.42,629.45,629.9,620.95,-0.57,2001-05-30
101,612.16,612.45,617.66,608.8,-2.59,2001-05-31
102,607.07,615.67,617.09,603.84,-0.83,2001-06-01
103,610.91,609.06,613.21,606.72,0.63,2001-06-04
104,597.66,612.63,615.0,597.66,-2.17,2001-06-05
105,601.14,594.28,601.35,594.28,0.58,2001-06-07
106,621.78,608.48,621.9,608.33,3.43,2001-06-08
107,608.23,612.46,615.41,607.2,-2.18,2001-06-11
108,607.15,605.36,611.88,603.91,-0.18,2001-06-12
109,614.05,611.79,614.05,607.48,1.14,2001-06-13
110,613.75,612.96,623.37,610.36,-0.05,2001-06-14
111,618.96,609.54,618.96,604.37,0.85,2001-06-15
112,608.78,617.66,619.82,607.93,-1.64,2001-06-18
113,608.91,606.04,615.85,605.8,0.02,2001-06-19
114,595.72,603.29,604.78,593.75,-2.17,2001-06-20
115,595.53,597.72,599.76,589.46,-0.03,2001-06-21
116,599.08,597.34,602.7,593.33,0.6,2001-06-22
117,598.02,597.37,602.77,594.04,-0.18,2001-06-25
118,588.71,597.81,598.96,586.12,-1.56,2001-06-26
119,584.76,587.31,590.74,580.75,-0.67,2001-06-27
120,583.27,585.66,591.03,582.91,-0.25,2001-06-28
121,595.13,594.02,595.13,589.18,2.03,2001-06-29
122,596.74,593.03,598.24,592.9,0.27,2001-07-02
123,594.31,598.67,598.67,593.56,-0.41,2001-07-03
124,597.25,591.01,597.25,586.31,0.49,2001-07-04
125,593.61,598.95,600.51,592.8,-0.61,2001-07-05
126,578.54,581.85,585.08,578.13,-2.54,2001-07-06
127,560.0,565.34,568.21,555.66,-3.2,2001-07-09
128,558.6,563.21,565.51,557.51,-0.25,2001-07-10
129,553.65,547.15,558.53,545.76,-0.89,2001-07-11
130,559.95,561.5,566.26,559.95,1.14,2001-07-12
131,548.49,571.16,571.16,546.97,-2.05,2001-07-13
132,548.93,551.43,554.93,545.17,0.08,2001-07-16
133,540.53,550.94,551.97,539.04,-1.53,2001-07-18
134,545.74,534.13,545.74,534.13,0.96,2001-07-19
135,537.71,540.26,541.95,534.39,-1.47,2001-07-20
136,524.21,535.0,538.35,522.38,-2.51,2001-07-23
137,526.62,518.94,527.37,512.78,0.46,2001-07-24
138,526.08,519.74,528.33,516.64,-0.1,2001-07-25
139,529.22,529.65,531.96,527.22,0.6,2001-07-26
140,541.13,536.86,542.58,534.94,2.25,2001-07-27
141,533.53,542.08,542.08,532.85,-1.4,2001-07-30
142,541.55,534.84,541.55,532.55,1.5,2001-07-31
143,562.79,546.3,563.67,542.0,3.92,2001-08-01
144,567.46,565.39,572.03,557.29,0.83,2001-08-02
145,568.69,572.0,572.0,563.55,0.22,2001-08-03
146,569.37,564.72,573.56,563.53,0.12,2001-08-06
147,567.5,562.17,568.57,561.29,-0.33,2001-08-07
148,565.94,568.07,568.85,561.35,-0.27,2001-08-08
149,549.67,554.46,559.17,549.67,-2.87,2001-08-09
150,555.34,556.04,558.27,552.0,1.03,2001-08-10
151,562.0,558.48,562.0,552.17,1.2,2001-08-13
152,577.15,565.2,577.24,564.86,2.7,2001-08-14
153,580.95,571.19,582.8,569.53,0.66,2001-08-16
154,580.99,582.93,585.36,577.1,0.01,2001-08-17
155,567.09,568.88,574.16,566.42,-2.39,2001-08-20
156,568.68,571.77,572.86,561.44,0.28,2001-08-21
157,574.87,560.53,575.3,560.53,1.09,2001-08-22
158,570.07,578.62,580.51,568.82,-0.83,2001-08-23
159,569.31,571.97,573.19,563.9,-0.13,2001-08-24
160,578.74,577.46,585.34,574.71,1.66,2001-08-27
161,576.51,577.75,578.62,573.1,-0.39,2001-08-28
162,565.63,569.77,570.03,563.28,-1.89,2001-08-29
163,564.36,555.98,564.36,554.47,-0.22,2001-08-30
164,545.11,552.78,554.48,542.21,-3.41,2001-08-31
165,541.83,545.02,547.63,539.17,-0.6,2001-09-03
166,558.79,543.1,558.79,540.33,3.13,2001-09-04
167,551.91,550.43,553.61,547.88,-1.23,2001-09-05
168,552.59,552.41,559.17,551.35,0.12,2001-09-06
169,555.08,546.79,555.51,544.73,0.45,2001-09-07
170,550.73,547.99,551.26,545.16,-0.78,2001-09-10
171,540.57,550.9,553.61,539.72,-1.84,2001-09-11
172,475.6,490.14,499.9,474.58,-12.02,2001-09-12
173,499.25,491.61,499.25,484.49,4.97,2001-09-13
174,482.29,497.15,497.15,472.98,-3.4,2001-09-14
175,468.76,475.31,476.42,464.39,-2.81,2001-09-17
176,484.93,481.45,485.12,478.24,3.45,2001-09-18
177,486.75,484.16,491.99,480.4,0.38,2001-09-19
178,480.27,482.79,482.79,473.5,-1.33,2001-09-20
179,472.31,466.57,472.31,463.54,-1.66,2001-09-21
180,482.19,473.75,482.19,471.91,2.09,2001-09-24
181,472.13,491.59,491.68,470.38,-2.09,2001-09-25
182,472.85,473.41,475.8,468.48,0.15,2001-09-26
183,472.38,467.45,472.38,464.42,-0.1,2001-09-27
184,479.68,475.56,483.21,472.71,1.55,2001-09-28
185,500.64,498.87,501.22,494.76,4.37,2001-10-04
186,501.92,499.8,502.11,496.66,0.26,2001-10-05
187,496.13,497.44,501.56,493.12,-1.15,2001-10-08
188,507.61,501.02,509.21,501.02,2.31,2001-10-09
189,503.46,503.08,505.41,500.44,-0.82,2001-10-10
190,517.05,514.84,519.56,513.87,2.7,2001-10-11
191,516.4,526.06,526.2,510.93,-0.13,2001-10-12
192,513.99,513.55,517.47,511.29,-0.47,2001-10-15
193,521.91,514.43,522.16,514.04,1.54,2001-10-16
194,528.29,527.81,529.54,522.37,1.22,2001-10-17
195,524.21,522.31,526.49,519.41,-0.77,2001-10-18
196,528.04,522.93,530.08,521.42,0.73,2001-10-19
197,528.7,532.0,532.12,524.32,0.12,2001-10-22
198,530.5,533.68,538.29,530.45,0.34,2001-10-23
199,541.49,532.63,541.96,531.46,2.07,2001-10-24
200,542.19,542.83,545.12,539.62,0.13,2001-10-25
201,543.41,545.15,547.25,539.91,0.23,2001-10-26
202,547.87,548.22,550.93,544.07,0.82,2001-10-29
203,533.87,538.99,539.93,533.2,-2.56,2001-10-30
204,537.81,530.53,537.81,529.75,0.74,2001-10-31
205,544.09,540.63,546.12,536.2,1.17,2001-11-01
206,550.57,547.99,554.05,547.51,1.19,2001-11-02
207,561.62,555.62,561.62,552.89,2.01,2001-11-05
208,565.47,567.35,569.82,565.47,0.69,2001-11-06
209,562.03,567.03,567.94,560.88,-0.61,2001-11-07
210,573.04,564.82,574.75,564.82,1.96,2001-11-08
211,576.75,575.1,579.19,569.71,0.65,2001-11-09
212,584.48,581.71,584.48,575.58,1.34,2001-11-12
213,588.83,580.87,589.64,577.19,0.74,2001-11-13
214,606.68,595.0,606.68,592.89,3.03,2001-11-14
215,606.44,602.09,612.32,600.72,-0.04,2001-11-15
216,610.88,605.71,612.53,602.83,0.73,2001-11-16
217,626.43,610.77,630.02,610.77,2.55,2001-11-19
218,616.33,630.97,636.06,614.19,-1.61,2001-11-20
219,615.45,609.88,621.17,609.18,-0.14,2001-11-21
220,624.56,617.82,624.56,609.81,1.48,2001-11-22
221,645.18,627.45,647.2,627.45,3.3,2001-11-23
222,674.56,655.08,674.56,654.87,4.55,2001-11-26
223,670.1,674.61,680.91,661.44,-0.66,2001-11-27
224,632.02,661.98,665.07,630.76,-5.68,2001-11-28
225,628.86,624.18,641.11,616.51,-0.5,2001-11-29
226,643.89,645.63,649.4,640.23,2.39,2001-11-30
227,650.66,643.61,654.0,631.87,1.05,2001-12-03
228,649.9,648.51,656.33,642.74,-0.12,2001-12-04
229,688.31,663.48,696.06,663.48,5.91,2001-12-05
230,686.61,707.06,715.93,678.81,-0.25,2001-12-06
231,704.5,691.37,708.15,683.62,2.61,2001-12-07
232,668.77,701.36,702.01,665.74,-5.07,2001-12-10
233,670.08,659.76,671.68,655.65,0.2,2001-12-11
234,681.43,667.01,683.26,658.17,1.69,2001-12-12
235,676.59,682.47,684.31,667.95,-0.71,2001-12-13
236,665.2,666.99,676.66,660.76,-1.68,2001-12-14
237,648.28,661.29,662.08,645.87,-2.54,2001-12-17
238,643.76,655.97,662.59,639.62,-0.7,2001-12-18
239,647.05,652.91,654.63,642.65,0.51,2001-12-19
240,664.51,649.3,666.48,642.86,2.7,2001-12-20
241,644.71,651.9,653.93,641.7,-2.98,2001-12-21
242,646.49,647.73,655.3,642.26,0.28,2001-12-24
243,653.87,650.23,655.2,648.84,1.14,2001-12-26
244,668.55,650.31,672.55,646.3,2.25,2001-12-27
245,693.7,680.22,695.96,680.22,3.76,2001-12-28
246,724.95,698.0,725.06,690.36,4.5,2002-01-02
247,727.66,726.76,735.77,722.35,0.37,2002-01-03
248,747.72,744.46,750.83,739.14,2.76,2002-01-04
249,751.48,748.54,757.81,735.55,0.5,2002-01-07
250,734.76,747.21,750.89,734.76,-2.22,2002-01-08
251,751.61,732.38,751.61,729.34,2.29,2002-01-09
252,728.23,747.44,751.83,728.22,-3.11,2002-01-10
253,727.36,737.31,742.34,718.74,-0.12,2002-01-11
254,744.03,721.43,744.03,720.78,2.29,2002-01-14
255,718.64,732.58,732.58,716.34,-3.41,2002-01-15
256,710.95,718.08,723.89,710.95,-1.07,2002-01-16
257,713.5,703.43,715.9,698.3,0.36,2002-01-17
258,708.47,713.35,718.39,705.21,-0.7,2002-01-18
259,717.35,704.73,717.35,701.01,1.25,2002-01-21
260,724.36,721.65,731.09,717.77,0.98,2002-01-22
261,742.62,715.79,742.84,714.61,2.52,2002-01-23
262,757.71,749.6,763.42,748.18,2.03,2002-01-24
263,774.68,769.51,784.12,766.59,2.24,2002-01-25
264,780.24,787.65,787.65,773.49,0.72,2002-01-28
265,774.03,780.47,784.46,769.53,-0.8,2002-01-29
266,749.45,748.78,759.24,745.77,-3.18,2002-01-30
267,748.07,761.12,762.22,742.89,-0.18,2002-01-31
268,742.42,757.07,761.85,739.15,-0.76,2002-02-01
269,730.21,740.98,747.36,728.58,-1.64,2002-02-04
270,739.91,720.7,739.91,718.86,1.33,2002-02-05
271,741.55,736.45,745.63,736.45,0.22,2002-02-06
272,727.71,736.62,746.96,724.69,-1.87,2002-02-07
273,739.66,730.82,739.66,722.53,1.64,2002-02-08
274,796.18,764.15,796.18,762.41,7.64,2002-02-14
275,783.59,781.99,793.67,781.66,-1.58,2002-02-15
276,790.37,783.75,795.37,782.93,0.87,2002-02-18
277,782.27,794.33,797.73,779.95,-1.02,2002-02-19
278,776.89,774.01,780.54,769.71,-0.69,2002-02-20
279,787.62,788.63,789.48,772.5,1.38,2002-02-21
280,792.0,774.78,792.64,773.4,0.56,2002-02-22
281,791.48,796.8,801.97,786.73,-0.07,2002-02-25
282,801.14,806.22,810.43,795.42,1.22,2002-02-26
283,822.11,800.7,822.11,800.7,2.62,2002-02-27
284,819.99,825.12,826.6,815.52,-0.26,2002-02-28
285,834.21,842.21,847.39,834.21,1.73,2002-03-04
286,841.95,847.86,847.86,834.95,0.93,2002-03-05
287,843.06,840.45,850.61,837.05,0.13,2002-03-06
288,829.44,847.86,850.08,826.2,-1.62,2002-03-07
289,825.27,828.9,833.72,815.54,-0.5,2002-03-08
290,827.02,828.22,830.38,818.43,0.21,2002-03-11
291,846.03,824.48,846.03,824.48,2.3,2002-03-12
292,849.13,841.93,854.48,839.48,0.37,2002-03-13
293,856.86,846.64,856.86,829.05,0.91,2002-03-14
294,860.36,847.57,868.02,845.4,0.41,2002-03-15
295,869.71,877.19,878.32,863.65,1.09,2002-03-18
296,889.98,872.65,890.44,869.86,2.33,2002-03-19
297,887.48,895.33,903.79,882.1,-0.28,2002-03-20
298,885.64,875.61,891.56,875.61,-0.21,2002-03-21
299,895.98,890.32,908.4,883.26,1.17,2002-03-22
300,879.41,901.43,903.77,879.41,-1.85,2002-03-25
301,881.03,872.57,884.18,872.57,0.18,2002-03-26
302,902.46,888.32,903.98,884.84,2.43,2002-03-27
303,892.67,905.19,914.93,892.67,-1.08,2002-03-28
304,895.58,902.05,906.25,893.18,0.33,2002-03-29
305,875.83,900.47,900.47,874.9,-2.21,2002-04-01
306,905.34,878.9,905.34,871.45,3.37,2002-04-02
307,918.59,899.98,919.89,898.28,1.46,2002-04-03
308,918.01,912.94,920.87,908.82,-0.06,2002-04-04
309,900.69,920.83,926.23,900.24,-1.89,2002-04-08
310,888.67,903.79,905.26,884.43,-1.33,2002-04-09
311,856.03,882.08,882.08,855.47,-3.67,2002-04-10
312,862.86,858.22,873.25,853.18,0.8,2002-04-11
313,875.69,855.04,875.72,854.12,1.49,2002-04-12
314,894.28,879.04,897.1,877.99,2.12,2002-04-15
315,901.29,896.41,904.61,891.0,0.78,2002-04-16
316,930.51,919.47,932.67,918.67,3.24,2002-04-17
317,937.61,926.69,941.74,925.06,0.76,2002-04-18
318,923.94,936.89,941.46,922.18,-1.46,2002-04-19
319,920.89,930.1,943.54,912.54,-0.33,2002-04-22
320,925.7,918.06,927.1,909.07,0.52,2002-04-23
321,915.69,921.75,927.15,906.01,-1.08,2002-04-24
322,872.58,898.44,903.4,872.58,-4.71,2002-04-25
323,869.65,871.54,878.32,864.06,-0.34,2002-04-26
324,838.51,848.52,863.1,833.42,-3.58,2002-04-29
325,842.34,840.31,847.19,829.16,0.46,2002-04-30
326,859.86,855.41,860.72,844.2,2.08,2002-05-02
327,856.72,852.04,859.32,836.71,-0.37,2002-05-03
328,826.87,840.93,843.57,826.87,-3.48,2002-05-06
329,826.34,814.06,826.34,811.66,-0.06,2002-05-07
330,844.67,839.02,850.9,837.26,2.22,2002-05-08
331,838.67,865.3,869.45,838.67,-0.71,2002-05-09
332,817.93,835.03,842.33,812.8,-2.47,2002-05-10
333,821.89,808.97,827.03,804.91,0.48,2002-05-13
334,837.37,834.49,839.8,826.96,1.88,2002-05-14
335,862.62,850.58,866.03,850.58,3.02,2002-05-15
336,858.04,861.95,867.21,856.7,-0.53,2002-05-16
337,875.03,867.44,878.39,866.7,1.98,2002-05-17
338,865.78,876.37,878.68,865.11,-1.06,2002-05-20
339,837.56,858.42,862.92,836.62,-3.26,2002-05-21
340,863.06,837.59,863.06,829.5,3.04,2002-05-22
341,845.51,858.5,863.16,844.15,-2.03,2002-05-23
342,854.57,853.41,861.03,851.01,1.07,2002-05-24
343,840.57,850.12,860.37,836.89,-1.64,2002-05-27
344,848.8,845.78,849.34,834.64,0.98,2002-05-28
345,835.19,838.73,838.73,821.81,-1.6,2002-05-29
346,815.61,825.84,831.52,812.12,-2.34,2002-05-30
347,796.4,815.14,820.51,794.92,-2.36,2002-05-31
348,804.93,793.53,807.15,787.04,1.07,2002-06-03
349,806.33,789.0,807.19,785.58,0.17,2002-06-04
350,809.59,813.04,818.55,808.08,0.4,2002-06-05
351,795.16,793.9,799.26,788.12,-1.78,2002-06-07
352,811.9,803.18,814.69,802.02,2.11,2002-06-10
353,815.33,810.08,816.17,803.2,0.42,2002-06-11
354,823.06,809.53,823.06,807.37,0.95,2002-06-12
355,822.01,820.43,832.26,820.2,-0.13,2002-06-14
356,809.16,824.18,828.07,809.16,-1.56,2002-06-17
357,809.4,824.25,827.49,809.39,0.03,2002-06-18
358,776.37,806.36,814.25,770.48,-4.08,2002-06-19
359,776.81,769.83,779.93,764.53,0.06,2002-06-20
360,778.53,767.5,783.35,758.95,0.22,2002-06-21
361,767.92,767.83,773.83,755.81,-1.36,2002-06-24
362,755.92,773.75,778.68,753.82,-1.56,2002-06-25
363,701.87,735.44,735.44,699.15,-7.15,2002-06-26
364,710.43,717.89,722.06,703.52,1.22,2002-06-27
365,742.72,723.73,747.62,722.63,4.55,2002-06-28
366,746.23,722.58,750.6,720.7,0.47,2002-07-02
367,753.36,740.86,756.06,733.57,0.96,2002-07-03
368,768.74,762.16,768.74,754.42,2.04,2002-07-04
369,787.83,768.51,797.42,768.51,2.48,2002-07-05
370,783.35,807.12,807.36,778.78,-0.57,2002-07-08
371,801.99,787.83,801.99,784.13,2.38,2002-07-09
372,794.71,795.02,802.75,790.45,-0.91,2002-07-10
373,764.88,782.75,782.75,764.88,-3.75,2002-07-11
374,792.93,780.49,793.44,776.45,3.67,2002-07-12
375,783.52,787.65,799.87,780.3,-1.19,2002-07-15
376,771.45,785.28,792.61,767.87,-1.54,2002-07-16
377,773.85,774.25,780.28,770.86,0.31,2002-07-18
378,754.62,759.41,761.68,744.36,-2.48,2002-07-19
379,720.9,724.49,736.58,719.38,-4.47,2002-07-22
380,743.52,715.81,743.52,709.37,3.14,2002-07-23
381,721.41,723.76,726.23,715.1,-2.97,2002-07-24
382,723.52,752.78,752.78,723.52,0.29,2002-07-25
383,697.84,716.97,722.92,688.68,-3.55,2002-07-26
384,700.35,704.08,707.98,694.95,0.36,2002-07-29
385,724.08,722.58,731.31,722.23,3.39,2002-07-30
386,717.99,725.03,727.58,717.42,-0.84,2002-07-31
387,707.8,720.99,721.31,702.44,-1.42,2002-08-01
388,700.68,693.95,704.09,689.38,-1.01,2002-08-02
389,675.76,690.77,692.12,672.59,-3.56,2002-08-05
390,673.78,660.94,674.76,660.94,-0.29,2002-08-06
391,679.37,685.06,689.45,677.63,0.83,2002-08-07
392,684.49,684.4,687.53,677.85,0.75,2002-08-08
393,692.45,699.09,705.75,691.87,1.16,2002-08-09
394,695.39,693.99,702.83,692.48,0.42,2002-08-12
395,708.63,695.14,708.71,693.31,1.9,2002-08-13
396,711.24,699.29,713.72,697.74,0.37,2002-08-14
397,718.29,724.33,729.21,715.98,0.99,2002-08-16
398,717.58,722.85,729.05,713.3,-0.1,2002-08-19
399,736.7,732.62,740.25,730.69,2.66,2002-08-20
400,745.12,734.42,746.51,731.45,1.14,2002-08-21
401,745.75,749.3,752.43,743.34,0.08,2002-08-22
402,740.51,748.1,753.5,738.81,-0.7,2002-08-23
403,734.79,731.82,737.3,730.37,-0.77,2002-08-26
404,724.17,737.09,737.51,723.49,-1.45,2002-08-27
405,724.05,718.35,732.11,718.35,-0.02,2002-08-28
406,724.94,720.56,724.94,717.04,0.12,2002-08-29
407,736.4,726.25,736.4,721.02,1.58,2002-08-30
408,751.98,739.84,751.98,738.09,2.12,2002-09-02
409,740.59,752.86,755.44,740.41,-1.51,2002-09-03
410,723.05,726.58,728.87,717.09,-2.37,2002-09-04
411,720.98,730.97,731.26,720.74,-0.29,2002-09-05
412,708.73,716.25,720.15,707.21,-1.7,2002-09-06
413,697.89,714.58,716.72,696.15,-1.53,2002-09-09
414,713.3,701.67,713.3,701.67,2.21,2002-09-10
415,724.71,717.97,726.26,716.34,1.6,2002-09-11
416,739.22,725.43,739.22,722.84,2.0,2002-09-12
417,718.17,726.13,727.43,716.49,-2.85,2002-09-13
418,704.38,721.45,721.71,700.75,-1.92,2002-09-16
419,726.8,715.16,726.84,709.73,3.18,2002-09-17
420,703.87,708.06,710.0,699.77,-3.15,2002-09-18
421,704.12,705.11,715.16,702.02,0.04,2002-09-19
422,679.43,692.14,693.26,677.17,-3.51,2002-09-23
423,672.28,667.21,677.75,665.98,-1.05,2002-09-24
424,657.96,669.36,669.73,651.93,-2.13,2002-09-25
425,662.41,672.91,676.42,659.2,0.68,2002-09-26
426,663.72,665.2,672.26,660.53,0.2,2002-09-27
427,646.42,645.28,648.84,639.74,-2.61,2002-09-30
428,652.13,637.81,652.24,637.77,0.88,2002-10-01
429,648.1,666.77,666.97,646.45,-0.62,2002-10-02
430,650.92,642.43,654.7,638.0,0.44,2002-10-04
431,627.4,644.32,644.32,627.16,-3.61,2002-10-07
432,634.84,626.09,634.84,623.06,1.19,2002-10-08
433,619.94,637.01,637.01,618.75,-2.35,2002-10-09
434,584.04,610.68,613.97,584.04,-5.79,2002-10-10
435,587.51,602.88,604.47,576.49,0.59,2002-10-11
436,614.27,604.43,617.16,603.8,4.55,2002-10-14
437,629.57,620.76,634.44,613.09,2.49,2002-10-15
438,636.25,641.12,641.58,631.37,1.06,2002-10-16
439,644.66,633.46,647.79,625.67,1.32,2002-10-17
440,670.79,660.67,674.19,657.03,4.05,2002-10-18
441,652.67,666.51,668.31,652.67,-2.7,2002-10-21
442,639.27,665.54,665.85,632.45,-2.05,2002-10-22
443,657.43,640.56,657.54,631.24,2.84,2002-10-23
444,654.98,661.47,666.21,650.7,-0.37,2002-10-24
445,655.88,646.1,662.32,646.09,0.14,2002-10-25
446,678.14,666.96,680.07,664.54,3.39,2002-10-28
447,673.18,675.09,682.81,672.47,-0.73,2002-10-29
448,658.03,672.43,672.83,651.86,-2.25,2002-10-30
449,658.92,664.8,670.18,653.11,0.14,2002-10-31
450,647.65,652.34,657.12,646.15,-1.71,2002-11-01
451,672.68,661.24,672.68,658.0,3.86,2002-11-04
452,664.9,672.72,674.65,660.97,-1.16,2002-11-05
453,682.56,673.94,683.36,672.5,2.66,2002-11-06
454,681.27,678.76,688.47,674.34,-0.19,2002-11-07
455,674.85,668.06,674.87,664.24,-0.94,2002-11-08
456,657.78,669.16,669.16,654.65,-2.53,2002-11-11
457,654.43,644.67,656.6,643.39,-0.51,2002-11-12
458,653.85,656.13,658.5,646.76,-0.09,2002-11-13
459,652.15,656.41,659.73,650.45,-0.26,2002-11-14
460,672.95,669.15,673.5,665.34,3.19,2002-11-15
461,667.13,672.92,678.12,665.63,-0.86,2002-11-18
462,671.44,663.35,672.7,663.13,0.65,2002-11-19
463,682.0,669.18,682.83,666.71,1.57,2002-11-20
464,690.38,695.37,699.29,689.86,1.23,2002-11-21
465,692.87,703.98,704.38,692.49,0.36,2002-11-22
466,705.86,695.48,706.82,694.98,1.87,2002-11-25
467,702.27,705.94,707.21,697.39,-0.51,2002-11-26
468,708.07,694.69,709.12,694.51,0.83,2002-11-27
469,714.54,719.33,725.6,713.67,0.91,2002-11-28
470,724.8,719.46,724.8,713.01,1.44,2002-11-29
471,730.16,724.99,731.47,719.95,0.74,2002-12-02
472,736.57,730.74,737.7,726.89,0.88,2002-12-03
473,714.5,724.72,725.25,713.2,-3.0,2002-12-04
